Permit_Number,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0901683,32.373,-101.3328194,32.3424989,-101.321909
0905120,31.8937398,-104.2039959,31.9240848,-104.1988315
0905989,31.9839671,-104.0696186,31.9852477,-104.0641527
0910487,29.3482184,-97.4728202,29.3602137,-97.5027674
0911232,32.0179406,-95.410971,32.0213846,-95.4473312
0911508,32.1796362,-102.4090489,32.1513587,-102.4004638
0912591,31.6961815,-101.6352318,31.7230876,-101.644634
0912728,35.9816111,-100.3951389,36.0108783,-100.3946406
0912729,35.9816111,-100.3951944,35.9535973,-100.3950295
0913236,28.833026,-98.9958053,28.8113404,-98.9683358
0914728,28.2512639,-96.9108139,28.253401,-96.9263555
0914824,31.6515009,-101.5682638,31.6849199,-101.5812812
0914826,31.6515149,-101.5682018,31.6851539,-101.5802572
0914827,31.6515299,-101.5681398,31.6855059,-101.5787193
0914829,31.6515439,-101.5680778,31.6857399,-101.5776943
0914830,31.6515579,-101.5680158,31.6860219,-101.5764613
0914833,31.6515719,-101.5679538,31.6863129,-101.5751874
0914852,33.407866,-98.643291,33.407866,-98.643291
0915207,28.2980662,-99.9995569,28.3425495,-100.006061
0915208,28.2979838,-99.9995564,28.342593,-100.0017105
0915314,32.2459361,-101.5280333,32.204475,-101.5165694
0915315,32.2460167,-101.5280028,32.2055333,-101.5118667
0915851,32.2175519,-101.6757265,32.186837,-101.6628893
0915852,32.2175297,-101.6758209,32.1861379,-101.6659883
0915853,32.2175103,-101.6759154,32.1854386,-101.6690872
0915854,32.2133324,-101.6839291,32.1836202,-101.6770158
0915855,32.2133518,-101.6838347,32.1845038,-101.6731983
0915860,32.9986945,-94.4026007,33.0334655,-94.4037906
0916038,29.0259472,-97.5690278,29.0110605,-97.5261839
0916049,29.0099083,-97.5781167,29.0274374,-97.6073362
0916055,29.0099639,-97.5781083,29.0316624,-97.6141892
0916083,32.525013,-101.256914,32.555879,-101.259268
0916084,31.9773984,-101.7146995,31.9221014,-101.6999804
0916085,31.9774124,-101.7146371,31.9221014,-101.6999804
0916086,31.9774264,-101.7145748,31.9223633,-101.6988411
0916087,31.9774405,-101.7145125,31.9221657,-101.6997006
0916088,31.9774545,-101.7144501,31.9229491,-101.6962929
0916089,31.9774686,-101.7143877,31.9229491,-101.6962929
0916090,31.9774827,-101.7143254,31.9232311,-101.6950659
0916091,31.9774967,-101.7142631,31.9230205,-101.6959819
0916092,31.9766581,-101.7054738,31.9446116,-101.6990984
0916093,31.9766747,-101.7054124,31.9446116,-101.6990984
0916094,31.9766912,-101.7053509,31.9242023,-101.6908399
0916095,31.9767078,-101.7052894,31.9450323,-101.6972714
0916096,31.9767244,-101.7052279,31.945468,-101.6953795
0916097,31.976741,-101.7051664,31.945468,-101.6953795
0916098,31.9767576,-101.7051049,31.9458887,-101.6935524
0916099,31.9767742,-101.7050434,31.9249815,-101.6874497
0916118,33.8412554,-96.9825115,33.8123491,-96.9714787
0916200,31.9374525,-96.0030069,31.966637,-96.0105349
0916416,33.4305111,-98.6235167,33.4260972,-98.6209833
0916627,33.4203725,-98.9323603,33.4203725,-98.9323603
0916682,31.7065479,-102.4313966,31.7330974,-102.4422696
0916683,31.7065624,-102.4313346,31.7336456,-102.4398941
0916684,31.7065769,-102.4312726,31.7341865,-102.4375496
0916721,31.7089329,-102.4211428,31.7434303,-102.4302
0916722,31.7089183,-102.4212048,31.7428733,-102.4325863
0916723,31.7089038,-102.4212668,31.7423155,-102.4349757
0916733,33.4131334,-98.6375531,33.4131334,-98.6375531
0916764,32.0730067,-100.3620315,32.0730067,-100.3620315
0916771,32.1199205,-96.0243851,32.1199205,-96.0243851
0916775,32.6717756,-102.8192916,32.6712286,-102.7945577
0916776,33.7906791,-96.9597321,33.7906791,-96.9597321
0916777,32.6847213,-102.7866409,32.6855974,-102.8177246
0916786,32.6804052,-102.8162816,32.6816804,-102.8455231
0916789,32.6881659,-102.8387057,32.6900029,-102.8576808
0916791,32.6980886,-102.8444774,32.6972864,-102.8619915
0916793,32.6591303,-102.7929871,32.6602785,-102.8196292
0916805,32.5115444,-94.69725,,
0916807,31.4469972,-96.2411362,31.4469972,-96.2411362
0916817,29.4704022,-95.110056,,
0916829,30.550559,-96.619004,30.564377,-96.635585
