key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255678,"PIE LA OPERATING, LLC",CALCASIEU,VUB;MINERAL RESOURCES DEV I,002,2026-05-22,,01,PERMITTED
255679,"EGH OPERATING, LLC",CADDO,ANKERSON,A-039,2026-05-27,,01,PERMITTED
255680,"EGH OPERATING, LLC",CADDO,ANKERSON,A-040,2026-05-27,,01,PERMITTED
255681,"EGH OPERATING, LLC",CADDO,CASON,A-009,2026-05-27,,01,PERMITTED
255682,"EGH OPERATING, LLC",CADDO,STRIEF,A-003,2026-05-27,,01,PERMITTED
255683,"EGH OPERATING, LLC",CADDO,WILLIAMS,A-003,2026-05-27,,01,PERMITTED
255684,"ENSIGHT IV ENERGY MANAGEMENT, LLC",RED RIVER,HA RA SUJ;SWN PROD 13-24 HC,001,2026-05-28,,01,PERMITTED
255685,EXPAND OPERATING LLC,CADDO,HA RA SU89;CHC27&22&15-17-15HC,001-ALT,2026-05-29,,01,PERMITTED
255686,EXPAND OPERATING LLC,CADDO,HA RA SU81;CHC34&3&10-17-15HC,001-ALT,2026-05-29,,01,PERMITTED
255687,"APEX NATURAL GAS, LLC",CADDO,HA RA SU136;KUHN 24&36-18-15HC,001,2026-05-28,,01,PERMITTED
255688,"APEX NATURAL GAS, LLC",CADDO,HA RA SU136;KUHN 24&36-18-15HC,002-ALT,2026-05-28,,01,PERMITTED
255689,"APEX NATURAL GAS, LLC",CADDO,KUHN 24&36-18-15HC,003,2026-05-28,,01,PERMITTED
255690,"APEX NATURAL GAS, LLC",CADDO,KUHN 24&36-18-15HC,004,2026-05-28,,01,PERMITTED
255691,ADAMAS ENERGY LLC,BIENVILLE,WW FARMS 34-3-10HC,001,2026-06-02,,01,PERMITTED
255692,ADAMAS ENERGY LLC,BIENVILLE,WW FARMS 34-3-10HC,002,2026-06-02,,01,PERMITTED
255693,"APEX NATURAL GAS, LLC",CADDO,HA RA SUAA;CRDL 9&28-16-14HC,001,2026-06-09,,01,PERMITTED
255694,"APEX NATURAL GAS, LLC",CADDO,HA RA SUAA;CRDL 9&28-16-14HC,002-ALT,2026-06-09,,01,PERMITTED
255695,"APEX NATURAL GAS, LLC",CADDO,HA RA SUAA;CRDL 9&28-16-14HC,003-ALT,2026-06-09,,01,PERMITTED
255696,"APEX NATURAL GAS, LLC",CADDO,HA RA SUAA;CRDL 9&28-16-14HC,004-ALT,2026-06-09,,01,PERMITTED
255697,"APEX NATURAL GAS, LLC",CADDO,HA RA SUAA;CRDL 9&28-16-14HC,005-ALT,2026-06-09,,01,PERMITTED
255698,MARTIN PRODUCTION COMPANY,CADDO,J SU44;LIMEKILN ETAL,007,2026-06-12,2026-06-15,31,SHUT-IN DRY HOLE -FUTURE UTILITY  NO PRODUCT SPECIFIED
255700,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RB SUNN;BAGLEY ET AL 35 HU,002-ALT,2026-06-11,,01,PERMITTED
255701,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RB SUNN;BAGLEY ET AL 35 HU,003-ALT,2026-06-11,,01,PERMITTED
976375,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,001,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976376,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,002,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976377,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,003,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976378,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,004,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976379,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,005,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976380,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,006,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976381,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,007,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976382,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,008,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976383,"BBEH OPERATING, LLC",CAMERON,BBEH SWD,009,2026-05-29,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976384,PINE PRAIRIE ENERGY CENTER LLC,EVANGELINE,PP-CW,006,2026-05-20,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976385,PINE PRAIRIE ENERGY CENTER LLC,EVANGELINE,PP-CW,007,2026-05-20,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976391,U.S. DEPARTMENT OF ENERGY,CAMERON,DOE WH-SWD,2F,2026-06-05,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976392,U.S. DEPARTMENT OF ENERGY,CAMERON,DOE WH-SWD,2G,2026-06-05,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976396,"DENBURY ONSHORE, LLC",MADISON,DELHI UNIT SWD,026-1,2026-06-04,,01,PERMITTED
