OBJECTID,id,ORGANIZATION_ID,ORGOP_LINE_ID,WELL_CLASS_TYPE_CODE,well,well_num,township,EFFECTIVE_DATE,api,OPERATION_TYPE_CODE,issue_date,spud,status,WELL_STATUS_DATE,ORIGINAL_COMPLETION_DATE,LAST_RECOMPLETION_DATE,LAST_TEST_DATE,ORPHANED_FLAG,PRODUCT_TYPE_CODE,CLASSIFICATION,UNIT_WELL_FLAG,EXEMPT_29E_FLAG,FIELD_ID,LEASE_NUM,MUD_DENSITY,USDW_VALUE,AREA_USDW_VALUE,SOURCE_AREA_USDW_VALUE,MAX_SIP,SIP_ASSIGNED_DATE,SOURCE_OF_SIP_VALUE,INJECTION_RATE,COMMENTS,LOCATION,section,MERIDIAN,range,PARISH_CODE,lat,lon,depth,LEGEND,DISTRICT_CODE,INSPECTION_DATE,INSPECTION_YEAR_INDEX,SECTION,INJECTION_VOLUME,LOG_REVIEWED_FLAG,ORPHAN_STATUS_CODE,ORPHAN_STATUS_DATE,field,operator,parish,SCOUT_WELL_STATUS_CODE,SCOUT_REPORT_DATE,SCOUT_MEASURED_DEPTH,SCOUT_TRUE_VERTICAL_DEPTH,LUW_CODE,LUW_TYPE_CODE,LUW_NAME,LW_REC_STATUS,SURFACE_LAMBERT_X,SURFACE_LAMBERT_Y,SURFACE_COORD_SYSTEM_CODE,SURFACE_ZONE,SURFACE_UTM83_X,SURFACE_UTM83_Y,UPPER_PERFS,LOWER_PERFS,SANDS,RESERVOIRS,FORMATIONS,HYPERLINK,GIS_UPD_DATE,status_desc,dirwell,SCOUT_DETAIL,MINERAL_INTEREST_FLAG,STATE_INTEREST_FLAG,DOC_ACCESS,STATE_ZONE,COASTAL_PERMIT_NUM,SE_ANNO_CAD_DATA,TRUE_VERTICAL_DEPTH,first_seen
244556,255811,F2880,1,,ROD-PET RA SUB; KEY 6,001,23N,2026-08-18 05:00:00,17119223090000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,8599,,0.0,,0.0,,,,,0.0,,351FT FSL & 1208FT FWL OF 006-T23N-R10W.,006,W,10W,60,33.010483684,-93.441799283,6500.0,01,,,,006,,,,,SPRINGHILL,"FONTAINEBLEAU OPERATING, LLC",WEBSTER,01,2026-08-18 05:00:00,6500.0,,,,,,1711301.0,853819.0,01,N,458733.6658101311,3652535.84432156,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255811",2026-08-19 09:05:20,PERMITTED,,351FT FSL & 1208FT FWL OF 006-T23N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255811,BAD,,,6500.0,False
243664,255812,A1203,1,,HA RA SU58; POWELL 5-8HC,001,09N,2026-08-18 05:00:00,17069205640000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,7870,,0.0,,0.0,,,,,0.0,,SL: 484' FSL & 332' FEL OF S5-T9N-R10W; PBHL: 100'FSL & 1200' FEL OF S8-T9N-R10W.,05,W,10W,35,31.788399646,-93.408023098,18600.0,-1,,,,05,,,,,SAN MIGUEL CREEK,ADAMAS ENERGY LLC,NATCHITOCHES,01,2026-08-18 05:00:00,18600.0,,,,,,1717931.0,409139.0,01,N,461371.644084184,3517054.2378993,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255812",2026-08-19 09:05:20,PERMITTED,,SL: 484' FSL & 332' FEL OF S5-T9N-R10W; PBHL: 100'FSL & 1200' FEL OF S8-T9N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255812,BAD,,,12800.0,False
243665,255813,A1203,1,,HA RA SUOO; POWELL 4-33 HC,001,09N,2026-08-18 05:00:00,17069205650000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,7870,,0.0,,0.0,,,,,0.0,,SL: 501' FSL & 314' FEL OF S5-T9N-R10W. PBHL: 100' FNL & 380' FWL OF S33-T10N-R10W.,005,W,10W,35,31.788449542,-93.407965651,18600.0,-1,,,,005,,,,,SAN MIGUEL CREEK,ADAMAS ENERGY LLC,NATCHITOCHES,01,2026-08-18 05:00:00,18600.0,,,,,,1717949.0,409157.0,01,N,461377.1034499111,3517059.74802555,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255813",2026-08-19 09:05:20,PERMITTED,,SL: 501' FSL & 314' FEL OF S5-T9N-R10W. PBHL: 100' FNL & 380' FWL OF S33-T10N-R10W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255813,BAD,,,12800.0,False
243666,255814,E1152,1,,HA RB SUYY;HDRK 13&12-13-16 HC,001-ALT,13N,2026-08-18 05:00:00,17031276360000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1464,,0.0,,0.0,,,,,0.0,,SL: 2370' FSL & 310' FWL OF S13-T13N-R16W. PBHL: 100' FNL & 999' FWL OF S12-T13N-R16W.,013,W,16W,16,32.115071044,-93.968430636,35000.0,-1,,,,013,,,,,BETHANY LONGSTREET,EXPAND OPERATING LLC,DE SOTO,01,2026-08-18 05:00:00,35000.0,,,,,,1545434.0,529869.0,01,N,408639.071427429,3553601.05783749,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255814",2026-08-19 09:05:20,PERMITTED,,SL: 2370' FSL & 310' FWL OF S13-T13N-R16W. PBHL: 100' FNL & 999' FWL OF S12-T13N-R16W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255814,BAD,,,14000.0,False
243667,255815,E1152,1,,HA RB SUYY;HDRK 13&12-13-16 HC,002-ALT,13N,2026-08-18 05:00:00,17031276370000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1464,,0.0,,0.0,,,,,0.0,,SL: 2370' FSL & 330' FWL OF S013-T13N-R16W. PBHL: 100' FNL & 2111' FWL OF S012-T13N-R16W.,013,W,16W,15,32.115069041,-93.968365999,35000.0,-1,,,,013,,,,,BETHANY LONGSTREET,EXPAND OPERATING LLC,CONCORDIA,01,2026-08-18 05:00:00,35000.0,,,,,,1545454.0,529868.0,01,N,408645.167476668,3553600.78091959,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255815",2026-08-19 09:05:20,PERMITTED,,SL: 2370' FSL & 330' FWL OF S013-T13N-R16W. PBHL: 100' FNL & 2111' FWL OF S012-T13N-R16W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255815,BAD,,,35000.0,False
243701,255816,P289,1,,HOSS RA SUC; THOMAS 15,001,17N,2026-08-18 05:00:00,17061214500000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1992,,0.0,,0.0,,,,,0.0,,SL: 513' FSL & 339' FWL OF S015-T17N-R05W.,015,W,05W,31,32.455546848,-92.878236155,9999.0,01,,,,015,,,,,BRYCELAND,"PETRO-CHEM OPERATING COMPANY, INC.",LINCOLN,01,2026-08-18 05:00:00,9999.0,,,,,,1883379.0,650855.0,01,N,511444.021407946,3590937.96977822,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255816",2026-08-19 09:05:20,PERMITTED,,SL: 513' FSL & 339' FWL OF S015-T17N-R05W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255816,BAD,,,9999.0,True
243702,255817,G1212,1,,VUA;PADGETT 1-1H,001,20N,2026-08-18 05:00:00,17015253510000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1448,,0.0,,0.0,,,,,0.0,,SHL: 315' FNL & 1639' FWL OF S001-T20N-R13W. PBHL: 238' FSL & 204' FEL OF S001-T20N-R13W.,001,W,13W,08,32.759774083,-93.665771429,14400.0,-1,,,,001,,,,,BENTON,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,01,2026-08-18 05:00:00,14400.0,,,,,,1641654.0,763266.0,01,N,437637.827271996,3624852.05231851,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255817",2026-08-19 09:05:20,PERMITTED,,SHL: 315' FNL & 1639' FWL OF S001-T20N-R13W. PBHL: 238' FSL & 204' FEL OF S001-T20N-R13W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255817,BAD,,,8452.0,True
243703,255818,G1212,1,,VUA;PADGETT 1-6H,001,20N,2026-08-18 05:00:00,17015253520000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1448,,0.0,,0.0,,,,,0.0,,SL: 275' FNL & 1639' FWL OF S001-T20N-R13W. PBHL: 604' FSL & 260' FWL OF S001-T20N-R13W.,001,W,13W,08,32.759884011,-93.665772829,13900.0,01,,,,001,,,,,BENTON,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,01,2026-08-18 05:00:00,13900.0,,,,,,1641654.0,763306.0,01,N,437637.772802134,3624864.2397287,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255818",2026-08-19 09:05:20,PERMITTED,,SL: 275' FNL & 1639' FWL OF S001-T20N-R13W. PBHL: 604' FSL & 260' FWL OF S001-T20N-R13W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255818,BAD,,,8800.0,True
243704,255819,G1212,1,,VUA;PADGETT 6-17H,001,20N,2026-08-18 05:00:00,17015253530000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1448,,0.0,,0.0,,,,,0.0,,SL: 412' FSL & 329' FWL OF S006-T20N-R12W. PBHL: 461' FNL & 1658' FWL OF S017-T20N-R12W.,006,W,12W,08,32.747223075,-93.652826345,17100.0,-1,,,,006,,,,,BENTON,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,01,2026-08-18 05:00:00,17100.0,,,,,,1645585.0,758657.0,01,N,438841.825563365,3623453.11301108,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255819",2026-08-19 09:05:20,PERMITTED,,SL: 412' FSL & 329' FWL OF S006-T20N-R12W. PBHL: 461' FNL & 1658' FWL OF S017-T20N-R12W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255819,BAD,,,8550.0,True
243705,255820,E6963,1,,VUA;PADGETT 6-17H,002,20N,2026-08-18 05:00:00,17015253540000,01,2026-08-18 05:00:00,,01,2026-08-18 05:00:00,,,,,00,,,,1448,,0.0,,0.0,,,,,0.0,,SL: 395' FSL & 293' FWL OF S006-T20N-R12W. PBHL: 949' FNL & 1185 FWL OF S017-T20N-R12W.,006,W,12W,08,32.747178022,-93.652946118,17100.0,-1,,,,006,,,,,BENTON,"EMPRESA OPERATING, LLC",BOSSIER,01,2026-08-18 05:00:00,17100.0,,,,,,1645548.0,758641.0,01,N,438830.574005785,3623448.18760021,,,,,,"https://sonlite.dnr.state.la.us/ords/apex/r/sonris_pub/sonris_data_portal/well-profile?clear=CR,9000&ig[ig_master]_well_serial_num=255820",2026-08-19 09:05:20,PERMITTED,,SL: 395' FSL & 293' FWL OF S006-T20N-R12W. PBHL: 949' FNL & 1185 FWL OF S017-T20N-R12W.,,,https://sonlite.dnr.state.la.us/ords/r/sonris/ucmsearch/finddocuments?qtype=eq&idx=xwellserialnumber&val=255820,BAD,,,8650.0,True
