date,tx_new,la_new,checks_passed,checks_failed,status
2026-07-26T16:42:33,,0,4,1,SOFT_FAIL
2026-07-26T16:46:19,62,0,7,0,OK
2026-07-26T17:50:27,0,0,7,0,OK
2026-07-27T14:20:12,0,0,7,0,OK
2026-07-27T16:25:14,0,0,7,0,OK
2026-07-27T17:39:38,0,0,7,0,OK
2026-07-28T14:00:34,0,0,6,1,SOFT_FAIL
2026-07-29T15:33:26,27,12,10,1,SOFT_FAIL
2026-07-29T16:00:29,27,12,10,1,SOFT_FAIL
2026-07-30T16:00:26,29,0,13,0,OK
2026-07-31T16:00:27,34,4,13,0,OK
2026-08-01T16:03:23,17,0,13,0,OK
2026-08-02T16:00:27,36,,13,0,OK
2026-08-03T16:00:22,,,13,0,OK
2026-08-04T16:00:23,,0,12,1,SOFT_FAIL
2026-08-05T16:00:26,,0,12,1,SOFT_FAIL
2026-08-07T16:00:25,113,3,12,1,SOFT_FAIL
2026-08-08T16:00:24,34,0,13,0,OK
2026-08-08T16:12:23,34,0,13,0,OK
2026-08-08T16:22:59,34,0,13,0,OK
2026-08-09T16:00:18,39,0,13,0,OK
2026-08-10T16:00:36,,0,13,0,OK
2026-08-11T16:00:29,0,0,13,0,OK
2026-08-12T16:00:25,,0,13,0,OK
2026-08-13T16:00:29,,1,12,1,SOFT_FAIL
2026-08-13T23:48:18,77,1,13,0,OK
2026-08-14T16:00:22,,0,13,0,OK
2026-08-15T16:00:21,79,0,13,0,OK
2026-08-16T16:00:22,,0,13,0,OK
2026-08-17T16:00:23,0,0,13,0,OK
2026-08-18T16:00:24,,7,13,0,OK
2026-08-19T16:00:25,,10,13,0,OK
2026-08-20T16:00:26,31,2,13,0,OK
2026-08-21T16:00:21,35,0,13,0,OK
2026-08-22T16:00:29,28,0,13,0,OK
2026-08-23T17:11:58,31,0,13,0,OK
2026-08-24T16:00:27,0,,13,0,OK
2026-08-25T16:00:34,0,4,13,0,OK
2026-08-26T16:00:26,17,0,13,0,OK
