source_name,sha256,ingested_at,records_parsed,new,amended,resurfaced
daf420.dat.07-29-2026,ff8747485f3a3c960172036d53dc6ee12800bb42060b20be5d2b869e2c0c1a55,2026-07-29T15:33:22,727,0,0,0
daf420.dat.07-30-2026,4fa7b4fbb3fde893c327322944987a7d914c5bd765d46ef39e4c2be491fc452d,2026-07-30T16:00:22,763,29,6,7
daf420.dat.07-31-2026,43bd54d63209b5ac02363c172b584083812f0d787c74202458965cdacdfe898c,2026-07-31T16:00:24,812,34,5,15
daf420.dat.08-01-2026,2b4cb135689eea20e55f09c52b357523a76323ed15bc4d31bc158c1b528c529a,2026-08-01T16:03:20,842,17,6,13
daf420.dat.08-02-2026,89f4f50f39584f27970470d1ef3175dd6a84295a21910fffe43602916ab2e169,2026-08-02T16:00:25,893,36,2,15
daf420.dat.08-07-2026,aae0f4b4fc24b96938b8836a14196484cc896ee62dd9bed13f28762dfdf0264d,2026-08-07T16:00:23,136,113,0,21
daf420.dat.08-08-2026,889baf65ee264c7a3d87450f1643daf13aa045808837c5f0c8c90a5a159fe36a,2026-08-08T16:00:21,189,34,0,19
daf420.dat.08-09-2026,f5f00126c10b0b1c6757143f232195bc1348b64a3e2c2d592360d48d062bce0d,2026-08-09T16:00:16,246,39,1,16
daf420.dat.08-10-2026,0cc37b25e0f0d541d1d81d2d2aa0480bd8b218a53b216399b8639ead397dba08,2026-08-10T10:45:03,246,0,0,0
daf420.dat.08-11-2026,19425e72119a464012b00846f1eb90c6f4410e052f2b8c5731906c39906f1751,2026-08-11T16:00:25,246,0,0,0
daf420.dat.08-13-2026,82771723648c5984ef824f03dc049bbf45b2060e2b98d693b2cd324095b05167,2026-08-13T23:48:16,340,77,4,16
daf420.dat.08-15-2026,75b70e65796cda79f53e1b1a91ed7cc058b27966316c755a5063b192c33c4cbc,2026-08-15T16:00:19,435,79,3,15
daf420.dat.08-16-2026,a0c2d9f2566283107205706f3933072a776db7148dcc8d18a3f0b5eb7c48b61f,2026-08-16T21:35:04,494,42,1,15
daf420.dat.08-17-2026,0b8965a067d1bb1b328b9a6d7d947b13620d92493bd45d48320a7dbc15cac7de,2026-08-17T16:00:20,494,0,0,0
daf420.dat.08-18-2026,27aa4423dd85b287e667cf85e5cacf471af6a06becbe98351ba2905b7ef7e5d6,2026-08-19T22:41:01,494,0,0,0
daf420.dat.08-19-2026,f7770a63c5d2dad68a3f2d0ae398353764ef80449e3eb84f1522082fe1f3ff15,2026-08-19T22:41:45,552,42,4,15
daf420.dat.08-20-2026,bf3e7e84431b7654d46bae6b7be6287937fc9d1b5fa1ab35b2864c733351869e,2026-08-20T16:00:23,602,31,0,18
daf420.dat.08-21-2026,1b8d3ee41c6898376be2763e731f5c73377a3600c23783e7a45fc338cfe713c7,2026-08-21T16:00:19,668,35,1,28
daf420.dat.08-22-2026,e51b455d4a0f91af1447a7e93bd85c0a23fc5a72cc69c7700d47f869fd2e3a0a,2026-08-22T16:00:26,746,28,3,46
daf420.dat.08-23-2026,a276dacf8da9582f2ef11d789950f500826ca2a2b2a5738d998c876b81e7b703,2026-08-23T17:11:55,788,31,2,9
daf420.dat.08-24-2026,17819af2ec304420f9547bdb8f4bb1f083a64641b3a62ec2e0a6d2455d400024,2026-08-24T16:00:22,788,0,0,0
daf420.dat.08-25-2026,5de24c68b13c22f052082e1c03e3bfbed6ce45b4a76cf8a079594d83c2c75409,2026-08-25T16:00:31,788,0,0,0
daf420.dat.08-26-2026,1d48225084823f7f70d5db938d95cef871ca73b0d70773c86d1b84f2d93a51dd,2026-08-26T16:00:22,812,17,16,5
daf420.dat.08-27-2026,82fb7e65dbd518bed6cf0000467075ef75aff89a81c780096b9a393e31b7a439,2026-08-27T16:00:25,869,35,20,21
daf420.dat.08-28-2026,72e9be62f9b0054faa59db516182d32e3c533f085e81e2d0dba757685582a896,2026-08-28T16:00:21,917,38,2,10
daf420.dat.08-29-2026,420a8cc3a237d1d38a5d9516f415c2e468caf49a00447c62ff5ae156862526dd,2026-08-29T16:00:19,931,9,4,4
daf420.dat.08-30-2026,bd38bfd36b26821b79eed203d3059fc4aed528ec76615c1f6e7409a07166d9bb,2026-08-30T16:00:23,957,19,6,7
daf420.dat.08-31-2026,af05aadba000acd679c71bf4d3455da79fcc32b042dd00f274875bd92e19550d,2026-08-31T16:00:22,957,0,0,0
daf420.dat.09-01-2026,a762cc51171d3fd518afa34e2676dfe6b0fcb563bbe07bfb19c2f520e82798dc,2026-09-01T16:00:20,957,0,0,0
daf420.dat.09-02-2026,b7b84539160588620137223f37b63c489fa56417602e14c6e4f34952d5dad91f,2026-09-02T16:00:26,989,26,7,6
daf420.dat.09-04-2026,48767e04e3c8d310e6cef877862e0fc9f118a18aee393dcda9a0d7298550268d,2026-09-04T16:00:27,106,87,4,10
daf420.dat.09-05-2026,462b145aebad28cbe812db38bc0000b756c413fab3b79533f37099e89fba1ce9,2026-09-05T16:00:17,133,20,1,3
