Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0914234,003,ANDREWS,FOUR WINDS 26-20 A,10,741937,2026-07-24,"SABALO II OPERATING, LLC",1JM,9300,2026-04-16,2026-04-29,32.29264,-102.437159,32.335893,-102.454374
0914233,003,ANDREWS,FOUR WINDS 26-20 A,10,741937,2026-07-24,"SABALO II OPERATING, LLC",1WA,9900,2026-04-16,2026-04-30,32.292622,-102.437237,32.335737,-102.455062
0914237,003,ANDREWS,FOUR WINDS 26-20 B,10,741937,2026-07-24,"SABALO II OPERATING, LLC",1WB,10000,2026-04-16,2026-04-26,32.292676,-102.437003,32.336363,-102.45231
0914235,003,ANDREWS,FOUR WINDS 26-20 C,10,741937,2026-07-24,"SABALO II OPERATING, LLC",1CF,8300,2026-04-16,2026-04-28,32.292658,-102.437081,32.336832,-102.450246
0914238,003,ANDREWS,FOUR WINDS 26-20 C,10,741937,2026-07-24,"SABALO II OPERATING, LLC",2JM,9300,2026-04-16,2026-04-25,32.292694,-102.436925,32.336832,-102.450246
0905119,109,CULBERSON,TYPHOON 42 UNIT,10,103285,2026-06-01,COTERRA ENERGY OPERATING CO.,15H,11000,2025-01-14,2025-02-15,,,,
0908908,123,DEWITT,BIG OAK B,02,216378,2026-07-28,"DEVON ENERGY PRODUCTION CO, L.P.",7H,14000,2025-07-01,2025-11-08,,,,
0913084,135,ECTOR,MAZDA,10,617544,2026-07-28,OCCIDENTAL PERMIAN LTD.,4691OP,11400,2026-01-27,,,,,
0904553,177,GONZALES,CHERRY BERGEY SELMAN SA4,01,525398,2026-07-20,MARATHON OIL EF LLC,4H,19056,2024-12-13,,,,,
0915105,203,HARRISON,GEORGE-MATTHEWS A,06,810277,2026-07-27,"SPONTE OPERATING, INC.",1H,11500,2026-05-07,,,,,
0909344,283,LA SALLE,FROIDETERRE B,01,102886,2026-07-10,VERDUN OIL EF II LLC,2H,8800,2025-07-30,2025-08-12,,,,
0909434,371,PECOS,HIDEAWAY,10,173777,2026-07-27,"CONTINENTAL RESOURCES, INC.",6304H,15350,2025-08-08,2025-09-17,,,,
0914457,405,SAN AUGUSTINE,HATCH 'B',06,103732,2026-07-01,ROCKCLIFF ENERGY OPERATING III,2HB,16000,2026-04-02,2026-04-12,,,,
0916444,441,TAYLOR,FORREST-KENNEDY,08,888024,2026-07-28,"VX OPERATING, LLC",1,4999,2026-06-22,2026-07-20,,,,
0905865,495,WINKLER,ALBATROSS 0214C,10,173777,2026-05-07,"CONTINENTAL RESOURCES, INC.",03H,13225,2025-02-20,2025-04-13,,,,
