Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon,first_seen
0917564,005,ANGELINA,STONEROLLER,06,103593,2026-07-31,"CATURUS ENERGY, LLC",1HB,17500,2026-08-07,,31.427147,-94.670713,31.4550277,-94.6755827,False
0917643,033,BORDEN,BRAHMA 42-43,11,950356,2026-08-04,"YUKON EXPLORATION OPERATING, LLC",3JM,8000,2026-08-07,,32.6084137,-101.5884046,32.5803193,-101.5771195,False
0917644,033,BORDEN,RAIDER 42-43 B,11,950356,2026-08-04,"YUKON EXPLORATION OPERATING, LLC",2JM,8000,2026-08-07,,32.6083907,-101.5884991,32.5793052,-101.5812875,False
0917640,097,COOKE,"KLEMENT, ROBERT",13,265140,2026-08-04,FELDERHOFF PRODUCTION COMPANY,1,1999,2026-08-07,,33.5239231,-97.309648,33.5239231,-97.309648,False
0917596,103,CRANE,VERNON B,10,788997,2026-08-03,SM ENERGY COMPANY,0992WF,10400,2026-08-07,,31.5800478,-102.3809431,31.5603969,-102.3745865,False
0917613,105,CROCKETT,"HATTON, E.H. ESTATE '14B'",09,760218,2026-08-03,SCOUT ENERGY MANAGEMENT LLC,3,7500,2026-08-07,,30.427193,-101.5661065,30.427193,-101.5661065,False
0917671,105,CROCKETT,"WARREN,W. K. FOUNDATION '24'",09,760218,2026-08-05,SCOUT ENERGY MANAGEMENT LLC,1,7400,2026-08-07,,30.3951,-101.531394,30.3951,-101.531394,False
0917605,135,ECTOR,OPTIMUS PRIME EAST,10,033149,2026-08-03,ARRINGTON OIL&GAS OPERATING LLC,H130LS,9200,2026-08-07,,31.8258306,-102.3375972,31.8741139,-102.3525083,False
0917628,165,GAINES,SEMINOLE SAN ANDRES UNIT,11,630591,2026-08-04,OXY USA INC.,2918,5900,2026-08-07,,32.7724741,-102.6869027,32.7714278,-102.6889972,False
0916409,177,GONZALES,FARRAR FARMS,01,480178,2026-06-11,"LP OPERATING, LLC",3,8000,2026-08-07,,29.5925215,-97.3523642,29.5925215,-97.3523642,True
0917370,181,GRAYSON,BROOKS-JEWELL,13,101705,2026-07-22,ATOKA ENERGY LLC,1,10000,2026-08-07,,33.7358298,-96.8047624,33.7358298,-96.8047624,False
0917625,207,HASKELL,BEARD,08,213703,2026-08-04,DELTA OIL & GAS LTD.,1,6000,2026-08-07,,33.1754744,-99.8852051,33.1754744,-99.8852051,True
0917624,207,HASKELL,GRISHAM BREWER,08,213703,2026-08-04,DELTA OIL & GAS LTD.,1,6000,2026-08-07,,33.1415508,-99.8832225,33.1415508,-99.8832225,True
0917626,253,JONES,PITTARD,08,213703,2026-08-04,DELTA OIL & GAS LTD.,1,5000,2026-08-07,,32.743057,-99.9286009,32.743057,-99.9286009,True
0917615,353,NOLAN,"HANKS, BILLIE 'C'",08,315260,2026-08-03,"GOODROCK NATURAL RESOURCES, LLC",2,7200,2026-08-07,,32.1784042,-100.2763183,32.1784042,-100.2763183,False
0917658,389,REEVES,STATE CARSON 57-T3-8X20 B,10,085408,2026-08-05,BPX OPERATING COMPANY,W102H,12200,2026-08-07,,31.7484121,-103.9827322,31.7086247,-103.983217,False
0917659,389,REEVES,STATE CARSON 57-T3-8X20 C,10,085408,2026-08-05,BPX OPERATING COMPANY,W103H,12200,2026-08-07,,31.7484121,-103.9824432,31.7086212,-103.9777199,False
0917660,389,REEVES,STATE CARSON 57-T3-8X20 D,10,085408,2026-08-05,BPX OPERATING COMPANY,W105H,12200,2026-08-07,,31.7513322,-103.986458,31.7086268,-103.9869418,False
0917661,389,REEVES,STATE CARSON 57-T3-8X20 E,10,085408,2026-08-05,BPX OPERATING COMPANY,W104H,12200,2026-08-07,,31.7484121,-103.9826362,31.7086235,-103.9813578,False
0917662,389,REEVES,STATE CARSON 57-T3-8X20 YA,10,085408,2026-08-05,BPX OPERATING COMPANY,X101H,12200,2026-08-07,,31.7513322,-103.986651,31.7232063,-103.9906856,False
0917663,389,REEVES,STATE CARSON 57-T3-8X20 YB,10,085408,2026-08-05,BPX OPERATING COMPANY,X102H,12200,2026-08-07,,31.7513329,-103.9863617,31.7086257,-103.9850021,False
0917664,389,REEVES,STATE CARSON 57-T3-8X20 YC,10,085408,2026-08-05,BPX OPERATING COMPANY,X103H,12200,2026-08-07,,31.7484121,-103.9825392,31.7086224,-103.9795082,False
0917647,389,REEVES,BARILLA DRAW,10,100119,2026-08-04,LAKEWOOD ENERGY LLC,1H,14000,2026-08-07,,31.30441,-103.389317,31.3200399,-103.3851749,True
0917648,389,REEVES,BARILLA DRAW,10,100119,2026-08-04,LAKEWOOD ENERGY LLC,2HU,14000,2026-08-07,,31.304327,-103.389317,31.305824,-103.3854159,True
0917610,389,REEVES,ZUTOPIA A,10,100852,2026-08-03,"PERMIAN RESOURCES OPERATING, LLC",3H,13000,2026-08-07,,31.2490957,-103.3729519,31.2556317,-103.3387298,False
0917338,419,SHELBY,BOM,06,945936,2026-07-21,XTO ENERGY INC.,1H,14800,2026-08-07,,31.659857,-94.16849,31.6142594,-94.1669651,True
0916971,461,UPTON,CONNELL 3847 B,09,027200,2026-07-06,APACHE CORPORATION,2HS,12000,2026-08-07,,,,,,False
0916976,461,UPTON,CONNELL 3847 B,09,027200,2026-07-06,APACHE CORPORATION,3HA,12000,2026-08-07,,,,,,False
0916987,461,UPTON,CONNELL 3847 E,09,027200,2026-07-06,APACHE CORPORATION,6HS,12000,2026-08-07,,,,,,False
