Permit_Number,CountyCode,County,Lease_Name,District,Operator_Number,Received_Date,Operator_Name,Well_Number,Total_Depth,Issue_Date,Spud_Date,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0917460,135,ECTOR,SHERIFF 2-38 B,10,217012,2026-07-28,DIAMONDBACK E&P LLC,2BN,13000,2026-08-04,2026-08-21,31.7868367,-102.3245757,31.8242184,-102.3405012
0917462,135,ECTOR,SHERIFF 2-38 D,10,217012,2026-07-28,DIAMONDBACK E&P LLC,4BN,13000,2026-08-11,2026-08-23,31.7867704,-102.3245549,31.8260458,-102.3322749
0916025,253,JONES,HF SINCLAIR,08,104379,2026-05-28,"WBI ENERGY MIDSTREAM, LLC",T015MP,350,2026-08-05,2026-08-24,32.750306,-99.673694,32.750306,-99.673694
0917591,383,REAGAN,MERCHANT DANIEL EAST K 14-7,09,102879,2026-08-03,"DE CENTRAL OPERATING, LLC",4411HR,10605,2026-08-05,2026-08-23,31.5954641,-101.5342472,31.624457,-101.543271
0916941,383,REAGAN,DRIVER S27AB,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",28H,10304,2026-08-05,2026-08-20,31.6474044,-101.6529958,31.6176047,-101.6454926
0916942,383,REAGAN,DRIVER S27AC,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",29H,10304,2026-08-05,2026-08-21,31.6473512,-101.6529794,31.6183129,-101.6425279
0916943,383,REAGAN,DRIVER S27AD,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",30H,11300,2026-08-05,2026-08-22,31.6472981,-101.6529631,31.6177583,-101.6448489
0916944,383,REAGAN,DRIVER S27AE,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",31H,10304,2026-08-05,2026-08-23,31.6472449,-101.6529467,31.6181097,-101.6433791
0916933,383,REAGAN,DRIVER S27F,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",6H,10304,2026-08-05,2026-08-21,31.6453625,-101.662928,31.6153897,-101.6547636
0916934,383,REAGAN,DRIVER S27G,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",7H,10304,2026-08-05,2026-08-22,31.6453092,-101.6629122,31.6154084,-101.6546861
0916935,383,REAGAN,DRIVER S27H,09,665748,2026-07-02,"PIONEER NATURAL RES. USA, INC.",8H,10304,2026-08-05,2026-08-23,31.6452559,-101.6628964,31.616198,-101.6513813
0916971,461,UPTON,CONNELL 3847 B,09,027200,2026-07-06,APACHE CORPORATION,2HS,12000,2026-08-07,2026-08-20,,,,
0916976,461,UPTON,CONNELL 3847 B,09,027200,2026-07-06,APACHE CORPORATION,3HA,12000,2026-08-07,2026-08-22,,,,
0916979,461,UPTON,CONNELL 3847 C,09,027200,2026-07-06,APACHE CORPORATION,4HU,12000,2026-08-17,2026-08-22,,,,
0916987,461,UPTON,CONNELL 3847 E,09,027200,2026-07-06,APACHE CORPORATION,6HS,12000,2026-08-07,2026-08-23,,,,
0917026,461,UPTON,LATZEL 3946 A,09,027200,2026-07-07,APACHE CORPORATION,7HA,10000,2026-08-06,2026-08-21,,,,
